Tom's here.	Tom er her.
Is there a bus that goes to the mall?	Er der en bus der kører til storcentret?
I should have taken my eye drops with me.	Jeg burde have taget mine øjendråber med mig.
Yesterday a truck hit this wall.	I går ramte en lastbil denne mur.
We both were tired.	Vi var begge trætte.
Tom is a beekeeper.	Tom er biavler.
He says what he thinks regardless of other people's feelings.	Han siger hvad han tænker uden at bekymre sig om andre menneskers følelser.
I burned the paper.	Jeg brændte papiret.
Tom opened the trunk of the car.	Tom åbnede bagagerummet på bilen.
Are you still jealous?	Er du stadigvæk jaloux?
The game's almost over.	Spillet er næsten færdig.
The cat is sleeping on the table.	Katten sover på bordet.
You should get married again.	Du burde gifte dig igen.
We're tired.	Vi er trætte.
All the leaves on the tree turned yellow.	Alle træets blade er blevet gule.
We have a half-dozen eggs.	Vi har et halvt dusin æg.
I must admit that I've never heard of it.	Jeg må indrømme at jeg aldrig har hørt om det.
Is it red?	Er den rød?
There are over 800,000 Basque speakers in the world.	Der er flere end 800.000 baskisktalende i verden.
Tom didn't start to play the trombone until he was twenty.	Tom begyndte ikke at spille på trombone førend han var tyve år.
I need a saw.	Jeg har brug for en sav.
He bought me a new dictionary.	Han købte en ny ordbog til mig.
I'm right behind you.	Jeg er lige bag dig.
Don't get drunk.	Drik dig ikke fuld!
My name's Tom. What's yours?	Jeg hedder Tom. Hvad hedder du?
Without you, I am nothing.	Uden dig er jeg intet.
Have you counted the towels?	Har du talt håndklæderne?
I get a call from her once in a while.	Hun ringer en gang imellem til mig.
Never mind!	Blæse være med det!
He is a biologist.	Han er biolog.
His legs are long.	Hans ben er lange.
Tom said he thought that the room was too small.	Tom sagde at han syntes at værelset var for lille.
The capital of Ukraine is Kiev.	Ukraines hovedstad er Kijev.
Tom finally quit smoking.	Tom er endelig holdt op med at ryge.
I had no idea you were interested in Japanese art.	Jeg anede ikke du var interesseret i japansk kunst.
Do you speak French?	Taler du fransk?
I'm frightened.	Jeg er skræmt.
This rule applies to you as well.	Denne regel gælder også for dig.
What are you guys up to?	Hvad er I ude på?
He lived a simple life.	Han levede et simpelt liv.
Tom was released from prison on October 20th.	Tom blev løsladt fra fængslet den 20. oktober.
That makes me feel a bit better.	Det får mig til at føle mig en smule bedre.
It's in my pocket.	Den er i min lomme.
Tom told me that I should've said yes.	Tom sagde til mig at jeg skulle have sagt ja.
Is there water on Mars?	Er der vand på Mars?
What have you told them?	Hvad har du fortalt dem?
I'm tired of you.	Jeg er træt af dig.
How much does it cost to eat at such a place?	Hvad koster det at spise på et sådant sted?
When was the last time that you ate dinner with your parents?	Hvornår spiste du sidst aftensmad med dine forældre?
Tom's patience wore thin.	Toms tålmodighed var tyndslidt.
Could you reduce the price a little?	Kan du sætte prisen lidt ned?
I know this is hard.	Jeg ved at det her er svært.
You need to hear the truth.	Du er nødt til at høre sandheden.
He is a writer.	Han er forfatter.
Let's try once again.	Lad os prøve endnu en gang.
Do you know how to get to the Hilton Hotel?	Ved du hvordan man kommer til Hilton-hotellet?
We all speak French.	Vi taler alle fransk.
This isn't French.	Dette er ikke fransk.
I love my sisters.	Jeg elsker mine søstre.
This is very important to us.	Dette er meget vigtigt for os.
That boat was full of refugees from Cuba.	Den båd var fuld af flygtninge fra Cuba.
Tell me. I'm all ears.	Fortæl løs. Jeg er lutter øren.
Tom is throwing stones at birds.	Tom kaster med sten efter fugle.
Would you like some scrambled egg?	Vil du gerne have røræg?
How old do you have to be to get married without your parents' permission?	Hvor gammel skal man være for at blive gift uden sine forældres tilladelse?
He's three years older than she is.	Han er tre år ældre end hende.
Can you help me find my keys?	Kan du hjælpe mig med at finde mine nøgler?
Mom, could you read me a bedtime story?	Mor, kan du læse mig en godnathistorie?
Let's take a train.	Lad os tage toget.
I heard that Tom lost his job.	Jeg har hørt at Tom har mistet sit arbejde.
I didn't believe that either.	Jeg troede heller ikke på det.
It's too late for me.	Det er for sent for mig.
Tom can't sing well.	Tom er ikke god til at synge.
The children played in the snow.	Børnene legede i sneen.
Tom isn't eating an apple.	Tom er ikke ved at spise et æble.
Do you have a plan?	Har du en plan?
This is an apple tree.	Dette er et æbletræ.
We saw her dance.	Vi har set hende danse.
Tom couldn't get his car started.	Tom kunne ikke få sin bil startet.
That looked like it hurt.	Det så ud som om det gjorde ondt.
Tom is going to need this.	Tom vil få brug for dette.
Mary is a rebellious girl.	Mary er en rebelsk pige.
Tom is facing financial problems.	Tom står over for økonomiske problemer.
What is the price of this watch?	Hvad koster dette ur?
Let's take a sneak peek.	Lad os tage en smugkig.
How did it happen?	Hvordan skete det?
He hung a picture on the wall.	Han hængte et billede op på væggen.
Don't mention it.	Ingen årsag.
I got it for Christmas.	Jeg fik det til jul.
It had been snowing for a week.	Det havde sneet i en uge.
We're among friends.	Vi er mellem venner.
Tom arrived home at 2:30.	Tom kom hjem klokken fjorten tredive.
It's four o'clock by my watch.	Klokken er fire på mit ur.
That's what Tom said to Mary.	Det er hvad Tom har sagt til Mary.
Is that a bottle opener?	Er det en oplukker?
What is truth?	Hvad er sandhed?
Tom didn't drink much.	Tom drak ikke meget.
I wonder where Tom hid his key.	Jeg gad vide hvor Tom gemte sin nøgle.
I have a few French books.	Jeg har nogle få franske bøger.
I wish you were wrong, but I know that you're right.	Jeg ville ønske at du tog fejl, men jeg ved at du har ret.
You have no choice.	Du har ikke noget valg.
It isn't easy to write a love letter in English.	Det er ikke let at skrive et kærestebrev på engelsk.
Tom won't eat.	Tom vil ikke spise.
I've been keeping a diary in French for the last three years.	Jeg har nu i tre år ført dagbog på fransk.
Try to act your age.	Opfør dig alderssvarende.
Tom was a jerk.	Tom var et fjols.
I just love beautiful women.	Jeg elsker bare smukke kvinder.
Tom is hypocritical.	Tom er hyklerisk.
Tom and Mary are bickering with each other.	Tom og Mary mundhugges.
Tom's stoned.	Tom er skæv.
You need to get Tom to change his mind.	Du skal få Tom til at skifte mening.
What time does the next train leave?	Hvad tid afgår næste tog?
What are you doing in the attic?	Hvad laver du på loftet?
I have tried everything.	Jeg har prøvet alt.
It's good to be home.	Det er godt at være hjemme.
I can handle this, no problem.	Jeg kan håndtere dette. Det er let nok.
Everybody knows that you are a liar.	Alle ved du er en løgnhals.
It's too big.	Det er for stort.
I'll phone again later.	Jeg ringer igen senere.
I don't know who is weirder, you or me.	Jeg ved ikke hvem der er mærkeligst, dig eller mig.
Several American warships were sent to Panama.	Flere amerikanske krigsskibe blev sendt til Panama.
Tom said that he'd be willing to do that for free.	Tom sagde at han ville være villig til at gøre det gratis.
There are heavy fines for parking in a disabled zone without a permit.	Der gives store bøder for uretmæssig parkering på en handikapparkeringsplads.
We did the best we could.	Vi har gjort vores bedste.
There is nothing new under the sun.	Der er intet nyt under solen.
Friendliness is a language the deaf can hear and the blind can read.	Venlighed er et sprog som den døve kan høre og den blinde kan se.
He works like a maniac.	Han arbejder som en gal.
Studying when you're sleepy is a waste of time.	At studere når man er søvnig, er spild af tid.
You're a good customer.	Du er en god kunde.
Where did you take your pants off?	Hvor tog du dine bukser af?
The ears of a rabbit are longer than those of a fox.	En kanins ører er længere end en rævs.
I like the beach.	Jeg kan godt lide stranden.
He is skating.	Han skøjter.
Even though Tom's in his forties, he still lives at home with his parents.	Selv om Tom er i fyrrerne, bor han stadig hos sine forældre.
Tom is unable to work this week.	Tom er ude af stand til at arbejde i denne uge.
Mastering a language is much easier said than done.	At mestre et sprog er meget lettere sagt end gjort.
Where did he find the money?	Hvor fandt han pengene?
Tom put a cup of coffee on the table in front of Mary.	Tom satte en kop kaffe på bordet foran Mary.
She wants to know who sent the flowers.	Hun ønsker at vide hvem der har sendt blomsterne.
I take my job seriously.	Jeg tager mit arbejde alvorligt.
Tom smiled at Mary and she smiled back.	Tom smilede til Mary og hun smilede tilbage.
Yes, I know it.	Ja, jeg ved det.
Let's begin.	Lad os gå i gang.
I've never understood this.	Jeg har aldrig forstået det her.
Who taught you how to play the guitar?	Hvem har lært dig at spille guitar?
Something's missing.	Der mangler noget.
That's beautiful.	Det er smukt.
I remember meeting that man before.	Jeg husker at jeg har mødt den mand før.
Take a look at these.	Tag et kig på disse.
I've enjoyed talking to you.	Det har været hyggeligt at snakke med dig.
Mother is cooking in the kitchen.	Mor er ved at lave mad i køkkenet.
I've never kissed a girl.	Jeg har aldrig kysset en pige.
Gradually the true meaning of what he said began to dawn on me.	Lidt efter lidt begyndte den virkelige betydning af det, han havde sagt, at gå op for mig.
A French translation of this book was published in 2013.	En fransk oversættelse af denne bog blev udgivet i 2013.
Air is invisible.	Luft er usynlig.
She stirred her coffee with a spoon.	Hun rørte i sin kaffe med en teske.
Tom has changed his name to John.	Tom har ændret sit navn til John.
There were three coffee mugs on the table.	Der var tre kaffekrus på bordet.
We threw it away.	Vi smed den væk.
Can you recommend any vegetarian dishes?	Kan du anbefale nogen vegetarretter?
They are inseparable.	De er uadskillelige.
I eat pork with a fork.	Jeg spiser svinekød med en gaffel.
When was the last time you had a girlfriend?	Hvornår havde du sidst en kæreste?
I am an only child.	Jeg er enebarn.
The lawyer decided to appeal the case.	Advokaten besluttede at appellere sagen.
Let's not worry about that until we have to.	Lad os ikke bekymre os om det indtil vi er nødt til det.
If you guys want to sleep here, it's no problem.	Hvis I gerne vil sove her, er det intet problem.
I live in Boston now.	Jeg bor i Boston nu.
He does not know.	Han ved det ikke.
I want to live.	Jeg ønsker at leve.
Tom didn't hesitate.	Tom tøvede ikke.
Stay and have a drink with us.	Bliv og få en drink sammen med os.
Do you want a foot massage?	Vil du gerne have fodmassage?
The boy carved his name in the tree.	Drengen skar sit navn i træet.
He kicked the ball with his foot.	Han sparkede til bolden med foden.
Are you a doctor, sir?	Er du læge, hr.?
Do your children speak French?	Taler jeres børn fransk?
Did anyone follow you?	Fulgte nogen efter dig?
It's a very big apple.	Det er et meget stort æble.
This book is still copyrighted.	Denne bog er stadig beskyttet af copyright.
What's the best way to learn how to swim?	Hvordan lærer man bedst at svømme?
What are you doing?	Hvad laver du?
All roads lead to Rome.	Alle veje fører til Rom.
Termites eat wood.	Termitter spiser træ.
I lied.	Jeg har løjet.
Mary oiled her bicycle.	Mary smurte sin cykel.
I don't want to hear any excuses.	Jeg vil ikke høre nogen undskyldninger.
You have to use the money wisely.	Brug pengene fornuftigt.
I haven't heard from Tom in quite some time.	Jeg har ikke hørt fra Tom i temmelig lang tid.
Sorry, I couldn't help it.	Undskyld, jeg kunne ikke lade være.
Tom's packing.	Tom pakker.
Tom must've missed the train.	Tom må være kommet for sent til toget.
It is important to drive carefully.	Det er vigtigt at køre forsigtigt.
I'm just a teacher.	Jeg er bare en lærer.
How was your week?	Hvordan var din uge?
My dog ran away.	Min hund løb væk.
That's a very rude question.	Det er et meget uforskammet spørgsmål.
Our city has one third as many people as Tokyo.	Vor by har et indbyggertal der er en tredjedel af Tokyos.
Tell me something that I don't know.	Fortæl mig noget jeg ikke ved.
I need a hacksaw to finish this job.	Jeg har brug for en nedstryger for at kunne færdiggøre dette arbejde.
Have you gone mad?	Har du mistet forstanden?
Don't leave us.	Forlad os ikke!
Tom emptied the bucket of water.	Tom tømte spanden med vand.
What's for dinner tonight?	Hvad skal vi have til middag i aften?
I am really into soccer.	Jeg interesserer mig meget for fodbold.
Tom wants to sleep on the beach.	Tom vil sove på stranden.
He was just thirty-six years old.	Han var blot 36 år gammel.
I think you used too much salt.	Jeg tror du har brugt for meget salt.
He is by far the best baseball player at our school.	Han er langt den bedste baseballspiller på vores skole.
Balls are round.	Bolde er runde.
Tom is the best chess player I know.	Tom er den bedste skakspiller jeg kender.
These trees were planted by them.	Disse træer blev plantet af dem.
Tom must be getting sleepy.	Tom må snart være søvnig.
He is the richest man on earth.	Han er den rigeste mand på jorden.
